phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,76,1,500161,288002048,0,288002048,59824112,207723,10000.708,0,0,0,1
mutation,77,1,500163,288002048,0,288002048,59875376,207901,10001.150,0,0,0,1
mutation,78,1,500165,288002048,0,288002048,60147824,208847,10000.736,0,0,0,1
mutation,79,1,500167,288002048,0,288002048,60068336,208571,10000.764,0,0,0,1
mutation,80,1,500169,288002048,0,288002048,60157568,208880,10000.729,0,0,0,1
mutation,81,1,500171,288002048,0,288002048,60161648,208895,10000.721,0,0,0,1
mutation,82,1,500173,288002048,0,288002048,60130496,208786,10000.709,0,0,0,1
mutation,83,1,500175,288002048,0,288002048,60140912,208823,10000.755,0,0,0,1
mutation,84,1,500177,288002048,0,288002048,60175472,208943,10000.696,0,0,0,1
mutation,85,1,500179,288002048,0,288002048,60211712,209068,10000.702,0,0,0,1
mutation,86,1,500181,288002048,0,288002048,59684144,207237,10000.752,0,0,0,1
mutation,87,1,500183,288002048,0,288002048,59635760,207069,10000.737,0,0,0,1
mutation,88,1,500185,288002048,0,288002048,59903600,207999,10000.741,0,0,0,1
mutation,89,1,500187,288002048,0,288002048,60102320,208689,10000.743,0,0,0,1
mutation,90,1,500189,288002048,0,288002048,60213488,209075,10000.733,0,0,0,1
mutation,91,1,500191,288002048,0,288002048,60219248,209095,10000.722,0,0,0,1
mutation,92,1,500193,288002048,0,288002048,60167984,208917,10000.720,0,0,0,1
mutation,93,1,500195,288002048,0,288002048,60093056,208656,10000.733,0,0,0,1
mutation,94,1,500197,288002048,0,288002048,59899520,207984,10000.716,0,0,0,1
mutation,95,1,500199,288002048,0,288002048,59922032,208063,10000.765,0,0,0,1
mutation,96,1,500201,288002048,0,288002048,60153584,208867,10000.750,0,0,0,1
mutation,97,1,500203,288002048,0,288002048,60224432,209113,10000.750,0,0,0,1
mutation,98,1,500205,288002048,0,288002048,60155264,208872,10000.731,0,0,0,1
mutation,99,1,500207,288002048,0,288002048,60153008,208865,10000.749,0,0,0,1
mutation,100,1,500209,288002048,0,288002048,60252080,209209,10000.812,0,0,0,1
mutation,101,1,500211,288002048,0,288002048,60195056,209011,10000.760,0,0,0,1
mutation,102,1,500213,288002048,0,288002048,60215216,209081,10000.754,0,0,0,1
mutation,103,1,500215,288002048,0,288002048,60123632,208763,10000.758,0,0,0,1
mutation,104,1,500217,288002048,0,288002048,60171968,208930,10000.682,0,0,0,1
mutation,105,1,500219,288002048,0,288002048,60189296,208991,10000.719,0,0,0,1
mutation,106,1,500221,288002048,0,288002048,60179504,208957,10000.712,0,0,0,1
mutation,107,1,500223,288002048,0,288002048,60137408,208810,10000.728,0,0,0,1
mutation,108,1,500225,288002048,0,288002048,60110336,208716,10000.728,0,0,0,1
mutation,109,1,500227,288002048,0,288002048,60186992,208983,10000.720,0,0,0,1
mutation,110,1,500229,288002048,0,288002048,60191600,208999,10000.727,0,0,0,1
mutation,111,1,500231,288002048,0,288002048,60154160,208869,10000.747,0,0,0,1
mutation,112,1,500233,288002048,0,288002048,60124208,208765,10000.741,0,0,0,1
mutation,113,1,500235,288002048,0,288002048,60244016,209181,10000.767,0,0,0,1
mutation,114,1,500237,288002048,0,288002048,60060272,208543,10000.717,0,0,0,1
mutation,115,1,500239,288002048,0,288002048,60131120,208789,10000.737,0,0,0,1
mutation,116,1,500241,288002048,0,288002048,60110384,208717,10000.723,0,0,0,1
mutation,117,1,500243,288002048,0,288002048,60219200,209094,10000.704,0,0,0,1
mutation,118,1,500245,288002048,0,288002048,60096560,208669,10000.777,0,0,0,1
mutation,119,1,500247,288002048,0,288002048,60091376,208651,10000.694,0,0,0,1
mutation,120,1,500249,288002048,0,288002048,60192128,209000,10000.711,0,0,0,1
mutation,121,1,500251,288002048,0,288002048,60040112,208473,10000.758,0,0,0,1
mutation,122,1,500253,288002048,0,288002048,60046976,208496,10000.700,0,0,0,1
mutation,123,1,500255,288002048,0,288002048,60123584,208762,10000.725,0,0,0,1
mutation,124,1,500257,288002048,0,288002048,60204800,209044,10000.726,0,0,0,1
mutation,125,1,500259,288002048,0,288002048,60235376,209151,10000.757,0,0,0,1
mutation,126,1,500261,288002048,0,288002048,60021632,208408,10000.715,0,0,0,1
mutation,127,1,500263,288002048,0,288002048,60097136,208671,10000.735,0,0,0,1
mutation,128,1,500265,288002048,0,288002048,60199088,209025,10000.778,0,0,0,1
mutation,129,1,500267,288002048,0,288002048,60215168,209080,10000.701,0,0,0,1
mutation,130,1,500269,288002048,0,288002048,60118448,208745,10000.726,0,0,0,1
mutation,131,1,500271,288002048,0,288002048,60180656,208961,10000.720,0,0,0,1
mutation,132,1,500273,288002048,0,288002048,60218672,209093,10000.713,0,0,0,1
mutation,133,1,500275,288002048,0,288002048,60148400,208849,10000.738,0,0,0,1
mutation,134,1,500277,288002048,0,288002048,60063728,208555,10000.744,0,0,0,1
mutation,135,1,500279,288002048,0,288002048,60219248,209095,10000.723,0,0,0,1
mutation,136,1,500281,288002048,0,288002048,59990000,208299,10000.729,0,0,0,1
mutation,137,1,500283,288002048,0,288002048,59724992,207378,10000.677,0,0,0,1
mutation,138,1,500285,288002048,0,288002048,59982512,208273,10000.699,0,0,0,1
mutation,139,1,500287,288002048,0,288002048,59973872,208243,10000.710,0,0,0,1
mutation,140,1,500289,288002048,0,288002048,59919152,208053,10000.717,0,0,0,1
mutation,141,1,500291,288002048,0,288002048,59921456,208061,10000.678,0,0,0,1
mutation,142,1,500293,288002048,0,288002048,60248624,209197,10000.748,0,0,0,1
mutation,143,1,500295,288002048,0,288002048,60058544,208537,10000.642,0,0,0,1
mutation,144,1,500297,288002048,0,288002048,60207728,209055,10000.656,0,0,0,1
mutation,145,1,500299,288002048,0,288002048,60078704,208607,10000.704,0,0,0,1
mutation,146,1,500301,288002048,0,288002048,59992304,208307,10000.706,0,0,0,1
mutation,147,1,500303,288002048,0,288002048,60097712,208673,10000.696,0,0,0,1
mutation,148,1,500305,288002048,0,288002048,60237632,209158,10000.692,0,0,0,1
mutation,149,1,500307,288002048,0,288002048,60020480,208404,10000.724,0,0,0,1
mutation,150,1,500309,288002048,0,288002048,60263024,209247,10000.742,0,0,0,1
mutation,151,1,500311,288002048,0,288002048,60055040,208524,10000.703,0,0,0,1
mutation,152,1,500313,288002048,0,288002048,60197936,209021,10000.740,0,0,0,1
mutation,153,1,500315,288002048,0,288002048,60262448,209245,10000.757,0,0,0,1
mutation,154,1,500317,288002048,0,288002048,60203696,209041,10000.739,0,0,0,1
mutation,155,1,500319,288002048,0,288002048,60108032,208708,10000.727,0,0,0,1
mutation,156,1,500321,288002048,0,288002048,60100544,208682,10000.723,0,0,0,1
mutation,157,1,500323,288002048,0,288002048,60205424,209047,10000.713,0,0,0,1
mutation,158,1,500325,288002048,0,288002048,60192752,209003,10000.736,0,0,0,1
mutation,159,1,500327,288002048,0,288002048,60250352,209203,10000.720,0,0,0,1
