phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,1,200009,115204096,0,115204096,49792496,172891,10001.341,0,0,0,1
mutation,1,0,200009,115204096,49792496,115204096,100242608,175174,10000.809,0,0,0,1
mutation,2,0,200009,115204096,100242608,115204096,115201280,51940,2625.080,0,1,0,1
summary,churn_every=4,mutation_iterations=3,arrived_during_mutation=1,scheduled_mutations=1,generation_resets=1,recovery_iterations=0,recovery_required=0,recovered_same_cursor=0,deep_reached=1,deep_target=115204096
