phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,74,1,1000157,576004096,0,576004096,61505408,213560,10000.584,0,0,0,1
mutation,75,1,1000159,576004096,0,576004096,61443776,213346,10000.595,0,0,0,1
mutation,76,1,1000161,576004096,0,576004096,61467440,213429,10000.607,0,0,0,1
mutation,77,1,1000163,576004096,0,576004096,61424816,213281,10000.620,0,0,0,1
mutation,78,1,1000165,576004096,0,576004096,61487600,213499,10000.606,0,0,0,1
mutation,79,1,1000167,576004096,0,576004096,61485872,213493,10000.613,0,0,0,1
mutation,80,1,1000169,576004096,0,576004096,61407536,213221,10000.564,0,0,0,1
mutation,81,1,1000171,576004096,0,576004096,61480640,213474,10000.599,0,0,0,1
mutation,82,1,1000173,576004096,0,576004096,61294016,212826,10000.583,0,0,0,1
mutation,83,1,1000175,576004096,0,576004096,61488704,213502,10000.558,0,0,0,1
mutation,84,1,1000177,576004096,0,576004096,61444352,213348,10000.599,0,0,0,1
mutation,85,1,1000179,576004096,0,576004096,61506608,213565,10000.597,0,0,0,1
mutation,86,1,1000181,576004096,0,576004096,61399472,213193,10000.651,0,0,0,1
mutation,87,1,1000183,576004096,0,576004096,61406384,213217,10000.581,0,0,0,1
mutation,88,1,1000185,576004096,0,576004096,61471424,213442,10000.575,0,0,0,1
mutation,89,1,1000187,576004096,0,576004096,61455920,213389,10000.603,0,0,0,1
mutation,90,1,1000189,576004096,0,576004096,61480688,213475,10000.604,0,0,0,1
mutation,91,1,1000191,576004096,0,576004096,61489328,213505,10000.587,0,0,0,1
mutation,92,1,1000193,576004096,0,576004096,61437440,213324,10000.597,0,0,0,1
mutation,93,1,1000195,576004096,0,576004096,61438064,213327,10000.577,0,0,0,1
mutation,94,1,1000197,576004096,0,576004096,61484144,213487,10000.601,0,0,0,1
mutation,95,1,1000199,576004096,0,576004096,61485824,213492,10000.572,0,0,0,1
mutation,96,1,1000201,576004096,0,576004096,61427072,213288,10000.562,0,0,0,1
mutation,97,1,1000203,576004096,0,576004096,61347584,213012,10000.568,0,0,0,1
