phase,quantum,state,advised_kb,obs_drop_kb,quantum_ran,next_delay_ms,scan,cursor_generation,next_generation,topology_before,topology_after,free_before,free_after,topology_changed,validation_reset,target_rewound,target_in,target_out,validation_in,validation_out,visited_chunks,reached_end
churn,1405,Trimming,4096,0,1,0,1,22686,22686,22686,22686,11310,11310,1,1,0,423886848,428081152,0,268444480,133,0
churn,1406,Trimming,4096,0,1,0,1,22702,22702,22702,22702,11318,11318,1,1,0,428081152,432275456,0,268444480,133,0
churn,1407,Trimming,4096,0,1,0,1,22718,22718,22718,22718,11326,11326,1,1,0,432275456,436469760,0,268444480,133,0
churn,1408,Trimming,4096,0,1,0,1,22734,22734,22734,22734,11334,11334,1,1,0,436469760,440664064,0,268444480,133,0
churn,1409,Trimming,4096,0,1,0,1,22750,22750,22750,22750,11342,11342,1,1,0,440664064,444858368,0,268444480,133,0
churn,1410,Trimming,4096,0,1,0,1,22766,22766,22766,22766,11350,11350,1,1,0,444858368,449052672,0,268444480,133,0
churn,1411,Trimming,4096,0,1,0,1,22782,22782,22782,22782,11358,11358,1,1,0,449052672,453246976,0,268444480,133,0
churn,1412,Trimming,4096,0,1,0,1,22798,22798,22798,22798,11366,11366,1,1,0,453246976,457441280,0,268444480,133,0
churn,1413,Trimming,4096,0,1,0,1,22814,22814,22814,22814,11374,11374,1,1,0,457441280,461635584,0,268444480,133,0
churn,1414,Trimming,4096,0,1,0,1,22830,22830,22830,22830,11382,11382,1,1,0,461635584,465829888,0,268444480,133,0
churn,1415,Trimming,4096,0,1,0,1,22846,22846,22846,22846,11390,11390,1,1,0,465829888,470024192,0,268444480,133,0
churn,1416,Trimming,4096,0,1,0,1,22862,22862,22862,22862,11398,11398,1,1,0,470024192,474218496,0,268444480,133,0
churn,1417,Trimming,4096,0,1,0,1,22878,22878,22878,22878,11406,11406,1,1,0,474218496,478412800,0,268444480,133,0
churn,1418,Trimming,4096,0,1,0,1,22894,22894,22894,22894,11414,11414,1,1,0,478412800,482607104,0,268444480,133,0
churn,1419,Trimming,4096,0,1,0,1,22910,22910,22910,22910,11422,11422,1,1,0,482607104,486801408,0,268444480,133,0
churn,1420,Trimming,4096,0,1,0,1,22926,22926,22926,22926,11430,11430,1,1,0,486801408,490995712,0,268444480,133,0
churn,1421,Trimming,4096,0,1,0,1,22942,22942,22942,22942,11438,11438,1,1,0,490995712,495190016,0,268444480,133,0
churn,1422,Trimming,4096,0,1,0,1,22958,22958,22958,22958,11446,11446,1,1,0,495190016,499384320,0,268444480,133,0
churn,1423,Trimming,4096,0,1,0,1,22974,22974,22974,22974,11454,11454,1,1,0,499384320,503578624,0,268444480,133,0
churn,1424,Trimming,4096,0,1,0,1,22990,22990,22990,22990,11462,11462,1,1,0,503578624,507772928,0,268444480,133,0
churn,1425,Trimming,4096,0,1,0,1,23006,23006,23006,23006,11470,11470,1,1,0,507772928,511967232,0,268444480,133,0
churn,1426,Trimming,4096,0,1,0,1,23022,23022,23022,23022,11478,11478,1,1,0,511967232,516161536,0,268444480,133,0
churn,1427,Trimming,4096,0,1,0,1,23038,23038,23038,23038,11486,11486,1,1,0,516161536,520355840,0,268444480,133,0
churn,1428,Trimming,4096,0,1,0,1,23054,23054,23054,23054,11494,11494,1,1,0,520355840,524550144,0,268444480,133,0
churn,1429,Trimming,4096,0,1,0,1,23070,23070,23070,23070,11502,11502,1,1,0,524550144,528744448,0,268444480,133,0
churn,1430,Trimming,4096,0,1,0,1,23086,23086,23086,23086,11510,11510,1,1,0,528744448,532938752,0,268444480,133,0
churn,1431,Trimming,4096,0,1,0,1,23102,23102,23102,23102,11518,11518,1,1,0,532938752,537133056,0,268444480,133,0
churn,1432,Trimming,4096,0,1,0,1,23118,23118,23118,23118,11526,11526,1,1,0,537133056,541327360,0,268444480,133,0
churn,1433,Trimming,4096,0,1,0,1,23134,23134,23134,23134,11534,11534,1,1,0,541327360,545521664,0,268444480,133,0
churn,1434,Trimming,4096,0,1,0,1,23150,23150,23150,23150,11542,11542,1,1,0,545521664,549715968,0,268444480,133,0
churn,1435,Trimming,4096,0,1,0,1,23166,23166,23166,23166,11550,11550,1,1,0,549715968,553910272,0,268444480,133,0
churn,1436,Trimming,4096,0,1,0,1,23182,23182,23182,23182,11558,11558,1,1,0,553910272,558104576,0,268444480,133,0
churn,1437,Trimming,4096,0,1,0,1,23198,23198,23198,23198,11566,11566,1,1,0,558104576,562298880,0,268444480,133,0
churn,1438,Trimming,4096,0,1,0,1,23214,23214,23214,23214,11574,11574,1,1,0,562298880,566493184,0,268444480,133,0
churn,1439,Trimming,4096,0,1,0,1,23230,23230,23230,23230,11582,11582,1,1,0,566493184,570687488,0,268444480,133,0
churn,1440,Trimming,4096,0,1,0,1,23246,23246,23246,23246,11590,11590,1,1,0,570687488,574881792,0,268444480,133,0
churn,1441,Trimming,4096,0,1,0,1,23262,23262,23262,23262,11598,11598,1,1,0,574881792,579076096,0,268444480,133,0
churn,1442,Trimming,4096,0,1,0,1,23278,23278,23278,23278,11606,11606,1,1,0,579076096,583270400,0,268444480,133,0
churn,1443,Trimming,4096,0,1,0,1,23294,23294,23294,23294,11614,11614,1,1,0,583270400,587464704,0,268444480,133,0
churn,1444,Trimming,4096,0,1,0,1,23310,23310,23310,23310,11622,11622,1,1,0,587464704,591659008,0,268444480,133,0
churn,1445,Trimming,4096,0,1,0,1,23326,23326,23326,23326,11630,11630,1,1,0,591659008,595853312,0,268444480,133,0
churn,1446,Trimming,4096,0,1,0,1,23342,23342,23342,23342,11638,11638,1,1,0,595853312,600047616,0,268444480,133,0
churn,1447,Trimming,4096,0,1,0,1,23358,23358,23358,23358,11646,11646,1,1,0,600047616,604241920,0,268444480,133,0
churn,1448,Trimming,4096,0,1,0,1,23374,23374,23374,23374,11654,11654,1,1,0,604241920,608436224,0,268444480,133,0
churn,1449,Trimming,3836,0,1,0,1,23390,23390,23390,23390,11662,11662,1,1,0,608436224,612368304,0,612368304,133,1
churn,1450,Trimming,4096,16,1,0,1,23406,23406,23406,23406,11670,11670,1,1,1,0,4341760,0,4334784,9,0
churn,1451,Trimming,4096,4,1,0,1,23422,23422,23422,23422,11678,11678,1,1,0,4341760,8613888,0,8594752,11,0
churn,1452,Trimming,4096,4,1,0,1,23438,23438,23438,23438,11686,11686,1,1,0,8613888,12886016,0,12854720,13,0
churn,1453,Trimming,4096,4,1,0,1,23454,23454,23454,23454,11694,11694,1,1,0,12886016,17158144,0,17114688,15,0
churn,1454,Trimming,4096,4,1,0,1,23470,23470,23470,23470,11702,11702,1,1,0,17158144,21430272,0,21374656,17,0
churn,1455,Trimming,4096,4,1,0,1,23486,23486,23486,23486,11710,11710,1,1,0,21430272,25702400,0,25634624,19,0
churn,1456,Trimming,4096,4,1,0,1,23502,23502,23502,23502,11718,11718,1,1,0,25702400,29974528,0,29894592,21,0
churn,1457,Trimming,4096,4,1,0,1,23518,23518,23518,23518,11726,11726,1,1,0,29974528,34246656,0,34154560,23,0
churn,1458,Trimming,4096,4,1,0,1,23534,23534,23534,23534,11734,11734,1,1,0,34246656,38518784,0,38414528,25,0
churn,1459,Trimming,4096,4,1,0,1,23550,23550,23550,23550,11742,11742,1,1,0,38518784,42790912,0,42674496,27,0
churn,1460,Trimming,4096,4,1,0,1,23566,23566,23566,23566,11750,11750,1,1,0,42790912,47063040,0,46934464,29,0
churn,1461,Trimming,4096,4,1,0,1,23582,23582,23582,23582,11758,11758,1,1,0,47063040,51335168,0,51194432,31,0
churn,1462,Trimming,4096,4,1,0,1,23598,23598,23598,23598,11766,11766,1,1,0,51335168,55607296,0,55454400,33,0
churn,1463,Trimming,4096,4,1,0,1,23614,23614,23614,23614,11774,11774,1,1,0,55607296,59879424,0,59714368,35,0
churn,1464,Trimming,4096,4,1,0,1,23630,23630,23630,23630,11782,11782,1,1,0,59879424,64151552,0,63974336,37,0
churn,1465,Trimming,4096,4,1,0,1,23646,23646,23646,23646,11790,11790,1,1,0,64151552,68423680,0,68234304,39,0
churn,1466,Trimming,4096,4,1,0,1,23662,23662,23662,23662,11798,11798,1,1,0,68423680,72695808,0,72494272,41,0
churn,1467,Trimming,4096,4,1,0,1,23678,23678,23678,23678,11806,11806,1,1,0,72695808,76967936,0,76754240,43,0
churn,1468,Trimming,4096,4,1,0,1,23694,23694,23694,23694,11814,11814,1,1,0,76967936,81240064,0,81014208,45,0
churn,1469,Trimming,4096,4,1,0,1,23710,23710,23710,23710,11822,11822,1,1,0,81240064,85512192,0,85274176,47,0
churn,1470,Trimming,4096,4,1,0,1,23726,23726,23726,23726,11830,11830,1,1,0,85512192,89784320,0,89534144,49,0
churn,1471,Trimming,4096,4,1,0,1,23742,23742,23742,23742,11838,11838,1,1,0,89784320,94056448,0,93794112,51,0
churn,1472,Trimming,4096,8,1,0,1,23758,23758,23758,23758,11846,11846,1,1,0,94056448,98328576,0,98054080,53,0
churn,1473,Trimming,4096,4,1,0,1,23774,23774,23774,23774,11854,11854,1,1,0,98328576,102604800,0,102314048,55,0
churn,1474,Trimming,4096,4,1,0,1,23790,23790,23790,23790,11862,11862,1,1,0,102604800,106876928,0,106574016,57,0
churn,1475,Trimming,4096,4,1,0,1,23806,23806,23806,23806,11870,11870,1,1,0,106876928,111149056,0,110833984,59,0
churn,1476,Trimming,4096,4,1,0,1,23822,23822,23822,23822,11878,11878,1,1,0,111149056,115421184,0,115093952,61,0
churn,1477,Trimming,4096,4,1,0,1,23838,23838,23838,23838,11886,11886,1,1,0,115421184,119693312,0,119353920,63,0
churn,1478,Trimming,4096,4,1,0,1,23854,23854,23854,23854,11894,11894,1,1,0,119693312,123965440,0,123613888,65,0
churn,1479,Trimming,4096,4,1,0,1,23870,23870,23870,23870,11902,11902,1,1,0,123965440,128237568,0,127873856,67,0
churn,1480,Trimming,4096,4,1,0,1,23886,23886,23886,23886,11910,11910,1,1,0,128237568,132509696,0,132133824,69,0
churn,1481,Trimming,4096,4,1,0,1,23902,23902,23902,23902,11918,11918,1,1,0,132509696,136781824,0,136393792,71,0
churn,1482,Trimming,4096,4,1,0,1,23918,23918,23918,23918,11926,11926,1,1,0,136781824,141053952,0,140653760,73,0
churn,1483,Trimming,4096,4,1,0,1,23934,23934,23934,23934,11934,11934,1,1,0,141053952,145326080,0,144913728,75,0
churn,1484,Trimming,4096,4,1,0,1,23950,23950,23950,23950,11942,11942,1,1,0,145326080,149598208,0,149173696,77,0
churn,1485,Trimming,4096,4,1,0,1,23966,23966,23966,23966,11950,11950,1,1,0,149598208,153870336,0,153433664,79,0
churn,1486,Trimming,4096,4,1,0,1,23982,23982,23982,23982,11958,11958,1,1,0,153870336,158142464,0,157693632,81,0
churn,1487,Trimming,4096,4,1,0,1,23998,23998,23998,23998,11966,11966,1,1,0,158142464,162414592,0,161953600,83,0
churn,1488,Trimming,4096,4,1,0,1,24014,24014,24014,24014,11974,11974,1,1,0,162414592,166686720,0,166213568,85,0
churn,1489,Trimming,4096,4,1,0,1,24030,24030,24030,24030,11982,11982,1,1,0,166686720,170958848,0,170473536,87,0
churn,1490,Trimming,4096,4,1,0,1,24046,24046,24046,24046,11990,11990,1,1,0,170958848,175230976,0,174733504,89,0
churn,1491,Trimming,4096,4,1,0,1,24062,24062,24062,24062,11998,11998,1,1,0,175230976,179503104,0,178993472,91,0
churn,1492,Trimming,4096,4,1,0,1,24078,24078,24078,24078,12006,12006,1,1,0,179503104,183775232,0,183253440,93,0
churn,1493,Trimming,4096,4,1,0,1,24094,24094,24094,24094,12014,12014,1,1,0,183775232,188047360,0,187513408,95,0
churn,1494,Trimming,4096,4,1,0,1,24110,24110,24110,24110,12022,12022,1,1,0,188047360,192319488,0,191773376,97,0
churn,1495,Trimming,4096,4,1,0,1,24126,24126,24126,24126,12030,12030,1,1,0,192319488,196591616,0,196033344,99,0
churn,1496,Trimming,4096,4,1,0,1,24142,24142,24142,24142,12038,12038,1,1,0,196591616,200863744,0,200293312,101,0
churn,1497,Trimming,4096,4,1,0,1,24158,24158,24158,24158,12046,12046,1,1,0,200863744,205135872,0,204553280,103,0
churn,1498,Trimming,4096,4,1,0,1,24174,24174,24174,24174,12054,12054,1,1,0,205135872,209408000,0,208813248,105,0
churn,1499,Trimming,4096,4,1,0,1,24190,24190,24190,24190,12062,12062,1,1,0,209408000,213680128,0,213073216,107,0
churn,1500,Trimming,4096,4,1,0,1,24206,24206,24206,24206,12070,12070,1,1,0,213680128,217952256,0,217333184,109,0
churn,1501,Trimming,4096,4,1,0,1,24222,24222,24222,24222,12078,12078,1,1,0,217952256,222224384,0,221593152,111,0
churn,1502,Trimming,4096,4,1,0,1,24238,24238,24238,24238,12086,12086,1,1,0,222224384,226496512,0,225853120,113,0
churn,1503,Trimming,4096,4,1,0,1,24254,24254,24254,24254,12094,12094,1,1,0,226496512,230768640,0,230113088,115,0
churn,1504,Trimming,4096,8,1,0,1,24270,24270,24270,24270,12102,12102,1,1,0,230768640,235040768,0,234373056,117,0
churn,1505,Trimming,4096,4,1,0,1,24286,24286,24286,24286,12110,12110,1,1,0,235040768,239316992,0,238633024,119,0
churn,1506,Trimming,4096,4,1,0,1,24302,24302,24302,24302,12118,12118,1,1,0,239316992,243589120,0,242892992,121,0
churn,1507,Trimming,4096,4,1,0,1,24318,24318,24318,24318,12126,12126,1,1,0,243589120,247861248,0,247152960,123,0
churn,1508,Trimming,4096,4,1,0,1,24334,24334,24334,24334,12134,12134,1,1,0,247861248,252133376,0,251412928,125,0
churn,1509,Trimming,4096,4,1,0,1,24350,24350,24350,24350,12142,12142,1,1,0,252133376,256405504,0,255672896,127,0
churn,1510,Trimming,4096,4,1,0,1,24366,24366,24366,24366,12150,12150,1,1,0,256405504,260677632,0,259932864,129,0
churn,1511,Trimming,4096,4,1,0,1,24382,24382,24382,24382,12158,12158,1,1,0,260677632,264949760,0,264192832,131,0
churn,1512,Trimming,4096,0,1,0,1,24398,24398,24398,24398,12166,12166,1,1,0,264949760,269213696,0,268444480,133,0
churn,1513,Trimming,4096,0,1,0,1,24414,24414,24414,24414,12174,12174,1,1,0,269213696,273408000,0,268444480,133,0
churn,1514,Trimming,4096,0,1,0,1,24430,24430,24430,24430,12182,12182,1,1,0,273408000,277602304,0,268444480,133,0
churn,1515,Trimming,4096,0,1,0,1,24446,24446,24446,24446,12190,12190,1,1,0,277602304,281796608,0,268444480,133,0
churn,1516,Trimming,4096,0,1,0,1,24462,24462,24462,24462,12198,12198,1,1,0,281796608,285990912,0,268444480,133,0
churn,1517,Trimming,4096,0,1,0,1,24478,24478,24478,24478,12206,12206,1,1,0,285990912,290185216,0,268444480,133,0
churn,1518,Trimming,4096,0,1,0,1,24494,24494,24494,24494,12214,12214,1,1,0,290185216,294379520,0,268444480,133,0
churn,1519,Trimming,4096,0,1,0,1,24510,24510,24510,24510,12222,12222,1,1,0,294379520,298573824,0,268444480,133,0
churn,1520,Trimming,4096,0,1,0,1,24526,24526,24526,24526,12230,12230,1,1,0,298573824,302768128,0,268444480,133,0
churn,1521,Trimming,4096,0,1,0,1,24542,24542,24542,24542,12238,12238,1,1,0,302768128,306962432,0,268444480,133,0
churn,1522,Trimming,4096,0,1,0,1,24558,24558,24558,24558,12246,12246,1,1,0,306962432,311156736,0,268444480,133,0
churn,1523,Trimming,4096,0,1,0,1,24574,24574,24574,24574,12254,12254,1,1,0,311156736,315351040,0,268444480,133,0
churn,1524,Trimming,4096,0,1,0,1,24590,24590,24590,24590,12262,12262,1,1,0,315351040,319545344,0,268444480,133,0
churn,1525,Trimming,4096,0,1,0,1,24606,24606,24606,24606,12270,12270,1,1,0,319545344,323739648,0,268444480,133,0
churn,1526,Trimming,4096,0,1,0,1,24622,24622,24622,24622,12278,12278,1,1,0,323739648,327933952,0,268444480,133,0
churn,1527,Trimming,4096,0,1,0,1,24638,24638,24638,24638,12286,12286,1,1,0,327933952,332128256,0,268444480,133,0
churn,1528,Trimming,4096,0,1,0,1,24654,24654,24654,24654,12294,12294,1,1,0,332128256,336322560,0,268444480,133,0
churn,1529,Trimming,4096,0,1,0,1,24670,24670,24670,24670,12302,12302,1,1,0,336322560,340516864,0,268444480,133,0
