run_id,client_mappers,present_clients,store_mappers,total_mappers,total_present_mappers,mode,oversubscribed,range_bytes,samples,p50_us,p95_us,p99_us,max_us,mean_us,MiBps_at_p50,syscall_failures,backing_checks,backing_failures,zero_checks,zero_failures
r2_m128_p0_parked,128,0,1,129,1,parked,0,4194304,1024,278.4,297.5,352.2,466.6,283.14,14367.9,0,1024,0,1,0
r2_m128_p0_parked,128,0,1,129,1,parked,0,1048576,1024,75.9,84.6,92.0,196.3,77.37,13182.7,0,1024,0,1,0
r2_m64_p64_parked,64,64,1,65,65,parked,0,4194304,1024,2974.3,3015.9,3113.8,4265.9,2982.31,1344.8,0,1024,0,1,0
r2_m64_p64_parked,64,64,1,65,65,parked,0,1048576,1024,779.8,802.4,825.3,1070.8,779.42,1282.4,0,1024,0,1,0
r2_m64_p64_parked,64,64,1,65,65,parked,0,16777216,1024,11774.5,11956.3,12527.7,16927.6,11812.74,1358.9,0,1024,0,1,0
r2_m256_p0_parked,256,0,1,257,1,parked,0,16777216,1024,1159.2,1219.7,1286.6,1583.0,1167.04,13803.1,0,1024,0,1,0
r2_m256_p0_parked,256,0,1,257,1,parked,0,1048576,1024,96.8,105.3,109.0,139.4,97.67,10327.2,0,1024,0,1,0
r2_m256_p0_parked,256,0,1,257,1,parked,0,4194304,1024,299.1,340.9,501.2,514.1,308.62,13372.7,0,1024,0,1,0
r2_m64_p0_parked,64,0,1,65,1,parked,0,16777216,1024,1125.5,1196.2,1278.9,1410.1,1133.70,14216.2,0,1024,0,1,0
r2_m64_p0_parked,64,0,1,65,1,parked,0,1048576,1024,69.1,77.6,87.3,173.9,70.36,14462.2,0,1024,0,1,0
r2_m64_p0_parked,64,0,1,65,1,parked,0,4194304,1024,267.8,283.0,345.0,455.3,271.23,14937.7,0,1024,0,1,0
r2_m1_p1_active,1,1,1,2,2,active,0,16777216,1024,1874.1,1914.8,1950.3,2825.5,1867.54,8537.3,0,1024,0,1,0
r2_m1_p1_active,1,1,1,2,2,active,0,1048576,1024,113.6,121.1,130.2,165.7,114.20,8806.1,0,1024,0,1,0
r2_m1_p1_active,1,1,1,2,2,active,0,4194304,1024,441.1,456.2,466.2,575.1,443.42,9069.1,0,1024,0,1,0
r2_m64_p32_parked,64,32,1,65,33,parked,0,1048576,1024,459.7,481.1,493.5,520.6,460.46,2175.3,0,1024,0,1,0
r2_m64_p32_parked,64,32,1,65,33,parked,0,4194304,1024,1709.1,1746.3,1767.1,2363.2,1710.90,2340.4,0,1024,0,1,0
r2_m64_p32_parked,64,32,1,65,33,parked,0,16777216,1024,6791.2,6892.1,6956.6,8311.0,6790.89,2356.0,0,1024,0,1,0
r2_m32_p32_parked,32,32,1,33,33,parked,0,1048576,1024,451.3,473.2,488.0,616.9,451.68,2215.8,0,1024,0,1,0
r2_m32_p32_parked,32,32,1,33,33,parked,0,4194304,1024,1708.8,1751.0,1768.0,1845.2,1710.90,2340.8,0,1024,0,1,0
r2_m32_p32_parked,32,32,1,33,33,parked,0,16777216,1024,6804.9,6886.2,6938.4,7031.7,6804.69,2351.2,0,1024,0,1,0
r2_m0_p0_parked,0,0,1,1,1,parked,0,4194304,1024,252.3,270.0,411.6,462.7,257.96,15856.3,0,1024,0,1,0
r2_m0_p0_parked,0,0,1,1,1,parked,0,16777216,1024,1069.7,1112.6,1172.1,1457.8,1076.13,14957.6,0,1024,0,1,0
r2_m0_p0_parked,0,0,1,1,1,parked,0,1048576,1024,60.4,66.8,75.6,118.6,61.34,16567.3,0,1024,0,1,0
r2_m1_p1_parked,1,1,1,2,2,parked,0,4194304,1024,434.1,455.9,481.5,498.4,435.77,9215.3,0,1024,0,1,0
r2_m1_p1_parked,1,1,1,2,2,parked,0,16777216,1024,1810.1,1855.3,1954.9,2046.9,1807.33,8839.2,0,1024,0,1,0
r2_m1_p1_parked,1,1,1,2,2,parked,0,1048576,1024,106.2,122.5,129.4,135.8,110.73,9417.7,0,1024,0,1,0
r2_m8_p8_active,8,8,1,9,9,active,0,1048576,1024,212.7,236.4,245.6,258.0,215.78,4702.0,0,1024,0,1,0
r2_m8_p8_active,8,8,1,9,9,active,0,4194304,1024,765.6,805.1,820.5,847.4,768.76,5224.3,0,1024,0,1,0
r2_m8_p8_active,8,8,1,9,9,active,0,16777216,1024,3024.7,3117.6,3173.5,3513.0,3033.88,5289.9,0,1024,0,1,0
r2_m64_p1_parked,64,1,1,65,2,parked,0,4194304,1024,472.9,505.5,516.8,715.9,473.26,8458.6,0,1024,0,1,0
r2_m64_p1_parked,64,1,1,65,2,parked,0,1048576,1024,123.4,136.3,149.0,181.9,124.27,8101.5,0,1024,0,1,0
r2_m64_p1_parked,64,1,1,65,2,parked,0,16777216,1024,1849.5,1968.3,2029.1,2298.2,1863.88,8650.9,0,1024,0,1,0
r2_m8_p8_parked,8,8,1,9,9,parked,0,1048576,1024,191.1,205.9,218.4,303.3,192.74,5233.4,0,1024,0,1,0
r2_m8_p8_parked,8,8,1,9,9,parked,0,16777216,1024,2968.6,3036.9,3093.8,4228.5,2977.19,5389.7,0,1024,0,1,0
r2_m8_p8_parked,8,8,1,9,9,parked,0,4194304,1024,732.2,759.8,792.8,1128.2,736.12,5462.7,0,1024,0,1,0
r3_m256_p0_parked,256,0,1,257,1,parked,0,16777216,1024,1165.5,1242.1,1356.9,2015.2,1175.64,13728.2,0,1024,0,1,0
r3_m256_p0_parked,256,0,1,257,1,parked,0,4194304,1024,305.5,353.6,370.4,553.5,311.67,13093.3,0,1024,0,1,0
r3_m256_p0_parked,256,0,1,257,1,parked,0,1048576,1024,100.6,110.0,131.9,221.4,101.99,9940.9,0,1024,0,1,0
r3_m8_p8_active,8,8,1,9,9,active,0,1048576,1024,210.6,233.6,245.4,304.7,213.52,4748.1,0,1024,0,1,0
r3_m8_p8_active,8,8,1,9,9,active,0,16777216,1024,3026.7,3115.3,3152.2,4420.5,3037.34,5286.3,0,1024,0,1,0
r3_m8_p8_active,8,8,1,9,9,active,0,4194304,1024,757.4,798.3,815.0,838.2,762.09,5281.3,0,1024,0,1,0
r3_m8_p8_parked,8,8,1,9,9,parked,0,1048576,1024,193.4,209.2,216.7,228.9,194.94,5169.6,0,1024,0,1,0
r3_m8_p8_parked,8,8,1,9,9,parked,0,16777216,1024,2973.0,3046.0,3083.3,3145.0,2978.85,5381.9,0,1024,0,1,0
