phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,0,500007,288002048,0,288002048,39505712,137173,10001.151,0,0,0,1
mutation,1,0,500007,288002048,39505712,288002048,79174256,137738,10000.737,0,0,0,1
mutation,2,0,500007,288002048,79174256,288002048,120228656,142550,10000.737,0,0,0,1
mutation,3,0,500007,288002048,120228656,288002048,158662208,133449,10000.758,0,0,0,1
mutation,4,0,500007,288002048,158662208,288002048,196757168,132275,10000.752,0,0,0,1
mutation,5,0,500007,288002048,196757168,288002048,234690224,131712,10000.823,0,0,0,1
mutation,6,0,500007,288002048,234690224,288002048,273142832,133516,10000.797,0,0,0,1
mutation,7,0,500007,288002048,273142832,288002048,288001280,51592,2812.026,0,1,0,1
summary,churn_every=0,mutation_iterations=8,arrived_during_mutation=1,scheduled_mutations=0,generation_resets=0,recovery_iterations=0,recovery_required=0,recovered_same_cursor=0,deep_reached=1,deep_target=288002048
