phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,1,200009,115204096,0,115204096,57603632,200013,10000.834,0,0,0,1
mutation,1,0,200009,115204096,57603632,115204096,114941504,199089,10000.792,0,0,0,1
mutation,2,1,200011,115204096,0,115204096,61143152,212303,10001.051,0,0,0,1
mutation,3,0,200011,115204096,61143152,115204096,115201280,187702,8798.833,0,1,0,1
summary,churn_every=2,mutation_iterations=4,arrived_during_mutation=1,scheduled_mutations=2,generation_resets=2,recovery_iterations=0,recovery_required=0,recovered_same_cursor=0,deep_reached=1,deep_target=115204096
