phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,0,1000007,576004096,0,576004096,38427440,133429,10001.380,0,0,0,1
mutation,1,0,1000007,576004096,38427440,576004096,77090864,134248,10001.172,0,0,0,1
mutation,2,0,1000007,576004096,77090864,576004096,115684592,134006,10001.139,0,0,0,1
mutation,3,0,1000007,576004096,115684592,576004096,155122160,136936,10001.158,0,0,0,1
mutation,4,0,1000007,576004096,155122160,576004096,195991088,141906,10000.841,0,0,0,1
mutation,5,0,1000007,576004096,195991088,576004096,236645168,141160,10000.839,0,0,0,1
mutation,6,0,1000007,576004096,236645168,576004096,278077424,143862,10000.964,0,0,0,1
mutation,7,0,1000007,576004096,278077424,576004096,315117632,128611,10001.000,0,0,0,1
mutation,8,0,1000007,576004096,315117632,576004096,351803696,127383,10000.942,0,0,0,1
mutation,9,0,1000007,576004096,351803696,576004096,388606640,127788,10001.057,0,0,0,1
mutation,10,0,1000007,576004096,388606640,576004096,425322608,127486,10000.831,0,0,0,1
mutation,11,0,1000007,576004096,425322608,576004096,462148016,127866,10001.039,0,0,0,1
mutation,12,0,1000007,576004096,462148016,576004096,499054592,128147,10001.159,0,0,0,1
mutation,13,0,1000007,576004096,499054592,576004096,536126000,128721,10001.154,0,0,0,1
mutation,14,0,1000007,576004096,536126000,576004096,576001280,138456,9700.901,0,1,0,1
summary,churn_every=0,mutation_iterations=15,arrived_during_mutation=1,scheduled_mutations=0,generation_resets=0,recovery_iterations=0,recovery_required=0,recovered_same_cursor=0,deep_reached=1,deep_target=576004096
