phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,0,1,200009,115204096,0,115204096,56184944,195087,10000.770,0,0,0,1
mutation,1,1,200011,115204096,0,115204096,60059696,208541,10000.730,0,0,0,1
mutation,2,1,200013,115204096,0,115204096,60301616,209381,10000.708,0,0,0,1
mutation,3,1,200015,115204096,0,115204096,60419072,209788,10000.691,0,0,0,1
mutation,4,1,200017,115204096,0,115204096,60328064,209472,10000.698,0,0,0,1
mutation,5,1,200019,115204096,0,115204096,60346544,209537,10000.658,0,0,0,1
mutation,6,1,200021,115204096,0,115204096,60418544,209787,10001.252,0,0,0,1
mutation,7,1,200023,115204096,0,115204096,60378224,209647,10000.715,0,0,0,1
mutation,8,1,200025,115204096,0,115204096,60454256,209911,10000.678,0,0,0,1
mutation,9,1,200027,115204096,0,115204096,60434048,209840,10000.678,0,0,0,1
mutation,10,1,200029,115204096,0,115204096,60417344,209782,10000.684,0,0,0,1
mutation,11,1,200031,115204096,0,115204096,60443312,209873,10000.707,0,0,0,1
mutation,12,1,200033,115204096,0,115204096,60438128,209855,10000.687,0,0,0,1
mutation,13,1,200035,115204096,0,115204096,60455360,209914,10000.678,0,0,0,1
mutation,14,1,200037,115204096,0,115204096,60385088,209670,10000.655,0,0,0,1
mutation,15,1,200039,115204096,0,115204096,60477872,209993,10000.720,0,0,0,1
mutation,16,1,200041,115204096,0,115204096,60578096,210341,10000.639,0,0,0,1
mutation,17,1,200043,115204096,0,115204096,60442688,209870,10000.675,0,0,0,1
mutation,18,1,200045,115204096,0,115204096,60554432,210258,10000.662,0,0,0,1
mutation,19,1,200047,115204096,0,115204096,60431744,209832,10000.653,0,0,0,1
mutation,20,1,200049,115204096,0,115204096,60450800,209899,10000.670,0,0,0,1
mutation,21,1,200051,115204096,0,115204096,60526832,210163,10000.711,0,0,0,1
mutation,22,1,200053,115204096,0,115204096,60452480,209904,10000.661,0,0,0,1
mutation,23,1,200055,115204096,0,115204096,60433520,209839,10000.664,0,0,0,1
mutation,24,1,200057,115204096,0,115204096,60392624,209697,10000.649,0,0,0,1
mutation,25,1,200059,115204096,0,115204096,60439280,209859,10000.644,0,0,0,1
mutation,26,1,200061,115204096,0,115204096,60529136,210171,10000.685,0,0,0,1
mutation,27,1,200063,115204096,0,115204096,60481904,210007,10000.670,0,0,0,1
mutation,28,1,200065,115204096,0,115204096,60375872,209638,10000.649,0,0,0,1
mutation,29,1,200067,115204096,0,115204096,60333872,209493,10000.644,0,0,0,1
mutation,30,1,200069,115204096,0,115204096,60477872,209993,10000.696,0,0,0,1
mutation,31,1,200071,115204096,0,115204096,60522800,210149,10000.693,0,0,0,1
mutation,32,1,200073,115204096,0,115204096,60405872,209743,10000.679,0,0,0,1
mutation,33,1,200075,115204096,0,115204096,60498608,210065,10000.680,0,0,0,1
mutation,34,1,200077,115204096,0,115204096,60416816,209781,10000.690,0,0,0,1
mutation,35,1,200079,115204096,0,115204096,60472688,209975,10000.694,0,0,0,1
mutation,36,1,200081,115204096,0,115204096,60527936,210166,10000.653,0,0,0,1
mutation,37,1,200083,115204096,0,115204096,60379376,209651,10000.679,0,0,0,1
mutation,38,1,200085,115204096,0,115204096,60387440,209679,10000.722,0,0,0,1
mutation,39,1,200087,115204096,0,115204096,60423152,209803,10000.666,0,0,0,1
mutation,40,1,200089,115204096,0,115204096,60450224,209897,10000.650,0,0,0,1
mutation,41,1,200091,115204096,0,115204096,60508976,210101,10000.660,0,0,0,1
mutation,42,1,200093,115204096,0,115204096,60436976,209851,10000.644,0,0,0,1
mutation,43,1,200095,115204096,0,115204096,60426032,209813,10000.668,0,0,0,1
mutation,44,1,200097,115204096,0,115204096,60528560,210169,10000.658,0,0,0,1
mutation,45,1,200099,115204096,0,115204096,60513536,210116,10000.661,0,0,0,1
mutation,46,1,200101,115204096,0,115204096,60495728,210055,10000.653,0,0,0,1
mutation,47,1,200103,115204096,0,115204096,60513008,210115,10000.665,0,0,0,1
mutation,48,1,200105,115204096,0,115204096,60322304,209452,10000.661,0,0,0,1
mutation,49,1,200107,115204096,0,115204096,60195056,209011,10000.688,0,0,0,1
mutation,50,1,200109,115204096,0,115204096,60431216,209831,10000.655,0,0,0,1
mutation,51,1,200111,115204096,0,115204096,60442112,209868,10000.655,0,0,0,1
mutation,52,1,200113,115204096,0,115204096,60499184,210067,10000.878,0,0,0,1
mutation,53,1,200115,115204096,0,115204096,60362624,209592,10000.874,0,0,0,1
mutation,54,1,200117,115204096,0,115204096,60492272,210043,10000.941,0,0,0,1
mutation,55,1,200119,115204096,0,115204096,60432944,209837,10000.930,0,0,0,1
mutation,56,1,200121,115204096,0,115204096,60469808,209965,10000.962,0,0,0,1
mutation,57,1,200123,115204096,0,115204096,60453680,209909,10000.894,0,0,0,1
mutation,58,1,200125,115204096,0,115204096,60178352,208953,10000.880,0,0,0,1
mutation,59,1,200127,115204096,0,115204096,59752112,207473,10000.911,0,0,0,1
mutation,60,1,200129,115204096,0,115204096,60427184,209817,10000.934,0,0,0,1
mutation,61,1,200131,115204096,0,115204096,60033200,208449,10000.935,0,0,0,1
mutation,62,1,200133,115204096,0,115204096,59776880,207559,10000.900,0,0,0,1
mutation,63,1,200135,115204096,0,115204096,60266480,209259,10000.853,0,0,0,1
mutation,64,1,200137,115204096,0,115204096,60101168,208685,10000.915,0,0,0,1
mutation,65,1,200139,115204096,0,115204096,60411632,209763,10000.944,0,0,0,1
mutation,66,1,200141,115204096,0,115204096,59284976,205851,10000.955,0,0,0,1
mutation,67,1,200143,115204096,0,115204096,59590832,206913,10000.723,0,0,0,1
mutation,68,1,200145,115204096,0,115204096,60204800,209044,10000.631,0,0,0,1
mutation,69,1,200147,115204096,0,115204096,59869616,207881,10000.695,0,0,0,1
mutation,70,1,200149,115204096,0,115204096,60290096,209341,10000.656,0,0,0,1
mutation,71,1,200151,115204096,0,115204096,60447344,209887,10000.681,0,0,0,1
mutation,72,1,200153,115204096,0,115204096,60544640,210224,10000.665,0,0,0,1
mutation,73,1,200155,115204096,0,115204096,60449648,209895,10000.663,0,0,0,1
mutation,74,1,200157,115204096,0,115204096,60503168,210080,10000.658,0,0,0,1
mutation,75,1,200159,115204096,0,115204096,60521024,210142,10000.659,0,0,0,1
mutation,76,1,200161,115204096,0,115204096,60441008,209865,10000.691,0,0,0,1
mutation,77,1,200163,115204096,0,115204096,60507200,210094,10000.643,0,0,0,1
mutation,78,1,200165,115204096,0,115204096,60386240,209674,10000.662,0,0,0,1
mutation,79,1,200167,115204096,0,115204096,60470960,209969,10000.665,0,0,0,1
mutation,80,1,200169,115204096,0,115204096,60477872,209993,10000.722,0,0,0,1
mutation,81,1,200171,115204096,0,115204096,60504368,210085,10000.694,0,0,0,1
mutation,82,1,200173,115204096,0,115204096,60543536,210221,10000.800,0,0,0,1
mutation,83,1,200175,115204096,0,115204096,60410480,209759,10000.657,0,0,0,1
mutation,84,1,200177,115204096,0,115204096,60348272,209543,10000.667,0,0,0,1
mutation,85,1,200179,115204096,0,115204096,60426608,209815,10000.673,0,0,0,1
mutation,86,1,200181,115204096,0,115204096,60510080,210104,10000.681,0,0,0,1
mutation,87,1,200183,115204096,0,115204096,60455984,209917,10000.647,0,0,0,1
mutation,88,1,200185,115204096,0,115204096,60476096,209986,10000.643,0,0,0,1
mutation,89,1,200187,115204096,0,115204096,60517616,210131,10000.676,0,0,0,1
mutation,90,1,200189,115204096,0,115204096,60438080,209854,10000.656,0,0,0,1
mutation,91,1,200191,115204096,0,115204096,60566000,210299,10000.741,0,0,0,1
mutation,92,1,200193,115204096,0,115204096,60420272,209793,10000.662,0,0,0,1
mutation,93,1,200195,115204096,0,115204096,60438656,209856,10000.658,0,0,0,1
mutation,94,1,200197,115204096,0,115204096,60507824,210097,10000.711,0,0,0,1
mutation,95,1,200199,115204096,0,115204096,60429440,209824,10000.655,0,0,0,1
mutation,96,1,200201,115204096,0,115204096,60513008,210115,10000.649,0,0,0,1
mutation,97,1,200203,115204096,0,115204096,60437504,209852,10000.644,0,0,0,1
mutation,98,1,200205,115204096,0,115204096,60442160,209869,10000.685,0,0,0,1
mutation,99,1,200207,115204096,0,115204096,60396080,209709,10000.648,0,0,0,1
mutation,100,1,200209,115204096,0,115204096,60552128,210250,10000.647,0,0,0,1
